sample	sample_type
TCGA-01-0628	6
TCGA-01-0630	6
TCGA-01-0631	6
TCGA-01-0633	6
TCGA-01-0636	6
TCGA-01-0637	6
TCGA-01-0639	6
TCGA-01-0642	6
TCGA-02-0001	3
TCGA-02-0003	3
TCGA-02-0004	3
TCGA-02-0006	3
TCGA-02-0007	3
TCGA-02-0009	3
TCGA-02-0010	3
TCGA-02-0011	3
TCGA-02-0014	3
TCGA-02-0015	3
TCGA-02-0016	3
TCGA-02-0021	3
TCGA-02-0023	3
TCGA-02-0024	3
TCGA-02-0025	3
TCGA-02-0026	3
TCGA-02-0027	3
TCGA-02-0028	3
TCGA-02-0033	3
TCGA-02-0034	3
TCGA-02-0037	3
TCGA-02-0038	3
TCGA-02-0039	3
TCGA-02-0043	3
TCGA-02-0046	3
TCGA-02-0047	3
TCGA-02-0048	3
TCGA-02-0051	3
TCGA-02-0052	3
TCGA-02-0054	3
TCGA-02-0055	3
TCGA-02-0057	3
TCGA-02-0058	3
TCGA-02-0059	3
TCGA-02-0060	3
TCGA-02-0064	3
TCGA-02-0068	3
TCGA-02-0069	3
TCGA-02-0070	3
TCGA-02-0071	3
TCGA-02-0074	3
TCGA-02-0075	3
TCGA-02-0079	3
TCGA-02-0080	3
TCGA-02-0083	3
TCGA-02-0084	3
TCGA-02-0085	3
TCGA-02-0086	3
TCGA-02-0087	3
TCGA-02-0089	3
TCGA-02-0099	3
TCGA-02-0102	3
TCGA-02-0104	3
TCGA-02-0106	3
TCGA-02-0107	3
TCGA-02-0111	3
TCGA-02-0113	3
TCGA-02-0114	3
TCGA-02-0115	3
TCGA-02-0116	3
TCGA-02-0250	3
TCGA-02-0258	3
TCGA-02-0260	3
TCGA-02-0266	3
TCGA-02-0269	3
TCGA-02-0271	3
TCGA-02-0281	3
TCGA-02-0285	3
TCGA-02-0289	3
TCGA-02-0290	3
TCGA-02-0317	3
TCGA-02-0321	3
TCGA-02-0324	3
TCGA-02-0325	3
TCGA-02-0326	3
TCGA-02-0329	3
TCGA-02-0330	3
TCGA-02-0332	3
TCGA-02-0333	3
TCGA-02-0336	3
TCGA-02-0337	3
TCGA-02-0338	3
TCGA-02-0339	3
